date,Cases,Deaths
2020-03-19,2,
2020-03-20,7,
2020-03-21,14,
2020-03-22,18,1
2020-03-23,30,1
2020-03-24,36,1
2020-03-25,38,2
2020-03-26,44,3
2020-03-27,47,4
2020-03-28,55,4
2020-03-29,63,5
2020-03-30,70,6
2020-03-31,74,6
2020-01-04,87,6
2020-02-04,88,7
2020-03-04,95,9
2020-04-04,108,10
2020-05-04,128,11
2020-06-04,146,12
2020-07-04,175,14
2020-08-04,186,16
2020-09-04,262,17
2020-10-04,378,19
2020-11-04,468,22
2020-12-04,516,24
2020-04-13,572,26
2020-04-14,650,28
2020-04-15,766,33
2020-04-16,929,36
2020-04-17,"1,099",41
2020-04-18,"1,376",53
2020-04-19,"1,743",63
2020-04-20,"1,939",71
2020-04-21,"2,178",90
2020-04-22,"2,407",103
2020-04-23,"2,624",112
2020-04-24,"2,815",127
2020-04-25,"3,071",133
2020-04-26,"3,301",151
2020-04-27,"3,548",162
2020-04-28,"3,774",181
2020-04-29,"4,082",197
2020-04-30,"4,395",214
2020-01-05,"4,721",236
2020-02-05,"5,054",262
2020-03-05,"5,428",290
2020-04-05,"5,804",319
2020-05-05,"6,245",368
2020-06-05,"6,625",396
2020-07-05,"7,012",425
2020-08-05,"7,402",449
2020-09-05,"7,796",472
2020-10-05,"8,194",493
2020-11-05,"8,541",513
2020-12-05,"8,903",537
2020-05-13,"9,267",566
2020-05-14,"9,591",586
2020-05-15,"9,931",606
2020-05-16,"10,988",625
2020-05-17,"11,379",659
2020-05-18,"11,745",694
2020-05-19,"12,140",719
2020-05-20,"12,537",749
2020-05-21,"12,905",773
2020-05-22,"13,268",802
2020-05-23,"13,664",829
2020-05-24,"14,056",858
2020-05-25,"14,460",888
2020-05-26,"14,821",915
2020-05-27,"15,195",938
2020-05-28,"15,562",960
2020-05-29,"15,933",980
2020-05-30,"16,343","1,007"
2020-05-31,"16,779","1,038"
2020-01-06,"17,200","1,063"
2020-02-06,"17,615","1,092"
2020-03-06,"18,100","1,122"
2020-04-06,"18,584","1,155"
2020-05-06,"19,094","1,190"
2020-06-06,"19,592","1,219"
2020-07-06,"20,070","1,249"
2020-08-06,"20,545","1,280"
2020-09-06,"21,014","1,313"
2020-10-06,"21,521","1,347"
2020-11-06,"22,032","1,385"
2020-12-06,"22,527","1,415"
2020-06-13,"23,038","1,449"
2020-06-14,"23,590","1,478"
2020-06-15,"24,104","1,506"
2020-06-16,"24,628","1,534"
2020-06-17,"25,148","1,561"
2020-06-18,"25,658","1,592"
2020-06-19,"26,198","1,619"
2020-06-20,"26,737","1,639"
2020-06-21,"27,317","1,664"
2020-06-22,"27,880","1,685"
2020-06-23,"28,429","1,711"
2020-06-24,"29,001","1,739"
2020-06-25,"29,578","1,754"
2020-06-26,"30,158","1,772"
2020-06-27,"30,773","1,789"
2020-06-28,"31,397","1,809"
2020-06-29,"32,023","1,828"
2020-06-30,"32,558","1,847"
2020-01-07,"33,318","1,869"
2020-02-07,"33,923","1,888"
2020-03-07,"34,686","1,906"
2020-04-07,"35,398","1,927"
2020-05-07,"36,123","1,945"
2020-06-07,"36,858","1,962"
2020-07-07,"37,636","1,979"
2020-08-07,"38,419","1,995"
2020-09-07,"39,280","2,010"
2020-10-07,"40,155","2,024"
2020-11-07,"41,026","2,034"
2020-12-07,"41,906","2,046"
2020-07-13,"42,808","2,057"
2020-07-14,"43,723","2,071"
2020-07-15,"44,648","2,081"
2020-07-16,"45,567","2,091"
2020-07-17,"46,516","2,108"
2020-07-18,"47,476","2,127"
